text,content,Does this content is relevant with text?
"""Accidentally put grown-up toothpaste on my toddler’s toothbrush and he screamed like I was cleaning his teeth with a Carolina Reaper dipped in Tabasco sauce.""",parenting,relevant
One man's claims that he scammed people on the platform caused several popular streamers to consider a Twitch boycott.,technology,relevant
"For the past 18 months, Hollywood has effectively boycotted the Globes after reports that the HFPA’s 87 members of non-American journalists included no Black members.",entertainment,relevant
President issues vow as tensions with China rise.,politics,relevant
An annual celebration took on a different feel as Russia's invasion dragged into Day 206.,politics,relevant
"The ""Avatar"" director said aspects of his 2009 movie are ""still competitive with everything that’s out there these days.""",entertainment,relevant
"U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.",politics,relevant
The director of the original 1982 film joins a writer of the 2017 sequel for the newest installment in the sci-fi franchise.,entertainment,relevant
Republican outrage over the shoddy U.S. withdrawal from Afghanistan hasn’t spurred support for resettling refugees.,politics,relevant
"“The Phantom of the Opera” — Broadway’s longest-running show — is scheduled to close in February 2023, a victim of post-pandemic softening in theater attendance in New York.",entertainment,relevant
"The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.",politics,relevant
The Oscar winner said she worked out for five hours a day for her role in the new action movie.,entertainment,relevant
"The reality star told James Corden she's branching out because ""clearly it's not working, whatever I’m doing.""",entertainment,relevant
The Las Vegas podcasters are hoping to find out who shot the rap icon 26 years ago.,entertainment,relevant
The Grammy-winning rapper surprised star-struck children at the Alexander Macomb School in Morris Heights to make the announcement.,entertainment,relevant
The television awards ceremony lost roughly 1.5 million viewers compared to its 2021 program.,entertainment,relevant
The state's general treasurer is slated to face former Cranston Mayor Allan Fung (R) in the general election.,politics,relevant
A U.S. firm that monitors false online claims reports that searches for information about prominent news topics on TikTok are likely to turn up results riddled with misinformation.,technology,relevant
"The director was best known for the groundbreaking movie ""Breathless.""",entertainment,relevant
"""Cancer does not discriminate red and blue,"" the president said Monday. ""Beating cancer is something we can do together.""",politics,relevant
"""Who we have on the field is who we’re gonna play,” Scott told ""Fox News Sunday.""",politics,relevant
Democrats in the state’s more moderate House district are deciding who will take on a popular Republican former mayor.,politics,relevant
Biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers.,politics,relevant
"President Joe Biden has marked the 21st anniversary of the Sept. 11 attacks, taking part in a somber wreath-laying ceremony held at the Pentagon under a steady rain.",politics,relevant
The Justice Department proposed two retired judges for the role. Trump’s team proposed a retired judge and a lawyer.,politics,relevant
"The director told the audience he was ""super excited to be finally finishing up movie two"" — as he has three additional installments in the works.",entertainment,relevant
"“Please join me in a round of applause for 70 years of service,” the pop star told the crowd after he paused his Madison Square Garden performance.",entertainment,relevant
Derrell McDavid’s testimony could be a major blow to the R&B singer's hope of acquittal.,entertainment,relevant
"The 19-year-old singer, dancer and YouTube icon will receive the 2022 Gamechanger Award for her focus on anti-bullying efforts.",entertainment,relevant
"Clark County Public Administrator Robert Telles was arrested in the fatal stabbing of Jeff German, who had been investigating his office.",politics,relevant
The internet ignited in approval over the former first lady's hairstyle choice for the monumental day.,entertainment,relevant
"The actor said he was so badly concussed while shooting the series finale that he feared for his life and was ""holding onto the walls"" while recovering.",entertainment,relevant
"Opponents of the measure claimed typos made the qualifying petitions incomprehensible, but the state's highest court rejected that argument.",politics,relevant
"The lawsuit says allowing homeless people’s tents to block city sidewalks makes it difficult for people using wheelchairs, walkers or canes to use them.",politics,relevant
"In most of the 200 scripted shows that researchers analyzed, Muslim characters were typically violent, dehumanized or disparaged — if they existed at all.",entertainment,relevant
"States are cutting back, and Congress is unlikely to step in even after the pandemic exposed the unemployment system's shortcomings.",politics,relevant
"Such attacks have become a growing threat to U.S. schools, with several high-profile incidents reported since last year.",academic,relevant
"The ""As It Was"" singer said he also doesn’t see many parallels between music and acting.",entertainment,relevant
"Jocelyn Benson said misinformation ""fuels the potential for additional threats, harassment and even violence on Election Day.""",politics,relevant
Cloudflare CEO Matthew Prince had previously resisted calls to block the site.,technology,relevant
"When Elsa Avila looks at the scar that runs down her torso, she can't help remember May 24, when a gunman stormed her fourth grade wing at Robb Elementary in Uvalde, Texas, killing 19 children and two teachers and leaving her and others wounded.",politics,relevant
Tim Michels calls on supporters to go after media following Milwaukee Journal Sentinel story reporting multimillionaire's donations to anti-abortion groups.,politics,relevant
Millennials might remember the family's MTV reality series from the early 2000s. The BBC series will be filmed at the 350-acre Osbourne estate in England.,entertainment,relevant
"Part of the space agency's Artemis program, the rocket is the most powerful to date.",science,relevant
Cipollone's former deputy Patrick Philbin is also reportedly scheduled to provide testimony to the grand jury on Friday.,politics,relevant
"If your freezer is overflowing, or you're tired of carrying around ice packs and bottles of pumped milk, this option could be for you.",parenting,relevant
The 36-page filing described how Trump and his representatives did not hand over classified materials at the property.,politics,relevant
The Soviet Union's last leader reportedly earned nearly $1 million even though he refused to eat the pizza on camera.,politics,relevant
"The GOP is continuing to contort itself in defense of Donald Trump, despite new information relating to classified documents held at his Florida estate.",politics,relevant
"""These are the biggest secrets in the world,"" Steve Doocy said in response to the ex-president keeping top secret documents at his private residence.",politics,relevant
It's one thing after another for Donald Trump's problem-plagued Truth Social.,politics,relevant
"“We’re going to play all nine innings here,” the Artemis mission manager said after the first launch was scrubbed.",science,relevant
"Ornato, who at one point served as a White House political adviser, is said to have witnessed Trump lunge at a Secret Service agent during the Capitol attack.",politics,relevant
HBO will release a six-part follow up to the series beginning in October about the infamous sex cult led by Keith Raniere.,entertainment,relevant
"Moms with dysphoric milk-ejection reflex (D-MER) feel an intense but brief wave of depression, anxiety or other negative emotion before letdown. And it's more common than you might think.",parenting,relevant
"The TikTok star’s mom Sheri Easterling and the “Betty” rapper made their romance public — but her ex, Monty Lopez, is not happy about it.",entertainment,relevant
House members are only supposed to use proxy voting when they cannot be present due to COVID-19. But that's not stopping representatives from voting remotely on the campaign trail.,politics,relevant
"“Most Republicans, including me, believe when it comes to Trump, there is no law,"" Graham said on Fox News. ""It's all about getting him.""",politics,relevant
The “Pirates of the Caribbean” actor appeared virtually as the MTV Video Music Awards' Moon Person on Sunday night.,entertainment,relevant
The actor made his first on-camera appearance since the defamation verdict against ex-wife Amber Heard in June.,entertainment,relevant
"The singer channeled her inner Barb, danced along to Lizzo and fangirled over Blackpink.",entertainment,relevant
Celebrities showed up and showed out at the awards Sunday night in New Jersey.,entertainment,relevant
"In a message posted on Truth Social, Patel called it a “vicious attack from DOJ/FBI.""",politics,relevant
The startling case underscores the security challenges of Donald Trump’s resort even as the former president stashed top-secret U.S. government files there.,politics,relevant
"Butler told Pitchfork he had ""consensual relationships"" outside his marriage, but he disputed details of the allegations.",entertainment,relevant
"""Hang in there, Mr. President,"" goofs one die-hard fan.",politics,relevant
The former president's legal team followed a judge's order to polish a filing about the FBI seizure of government documents from his estate.,politics,relevant
Who's nasty??,politics,relevant
"No one was safe during her ""speed roast"" targeting politicians.",entertainment,relevant
The heavily redacted document lays out the justification the Department of Justice provided to a judge for permission to search for and seize highly classified documents in an FBI raid of Trump's Florida home.,politics,relevant
"A major vendor claims it was stiffed by Trump's social media operation, suggesting finances are in ""significant disarray,"" reported Fox Business.",politics,relevant
"The ban was set to take effect Friday, about two months after the Supreme Court overturned Roe v. Wade.",politics,relevant
The judge is presiding over a special grand jury that’s investigating possible illegal attempts to influence the 2020 election in Georgia.,politics,relevant
"But the congressional race has not been officially called, and rival Yuh-Line Niou declined to concede.",politics,relevant
The five-term House member is known as a staunch President Biden critic and loyal Donald Trump supporter.,politics,relevant
Crist is making his second run for governor as a Democrat after having served one term in the job as a Republican more than a decade ago.,politics,relevant
The Internal Revenue Service says it is conducting a comprehensive review of safety at its facilities.,politics,relevant
"If Biden's plan survives legal challenges that are almost certain to come, it could offer a windfall to a swath of the nation in the run-up to this fall's midterm elections.",politics,relevant
"The ""Game of Thrones"" spinoff pulled in the largest audience for an original series premiere in HBO's history.",entertainment,relevant
The Rock & Roll Hall of Fame member also co-wrote classic songs like “That’ll Be the Day” and “Peggy Sue.”,entertainment,relevant
The actor revealed he abstained from sex for months and starved himself to prepare for a role.,entertainment,relevant
"""I haven’t been hanged yet,"" the Arizona GOP leader told The Guardian in a powerful interview. ""But holy moly, this is just crazy. The place has lost its mind.”",politics,relevant
The precise details of President Joe Biden’s plan were being kept to an unusually small circle within the Biden administration.,politics,relevant
"Democrats were on the cusp of transforming paid leave, child care and home care. Now they're figuring out where they came up short — and when they might get the opportunity to try again.",politics,relevant
Classes are scheduled to resume in just two days.,politics,relevant
Jennifer Granholm said the U.S. will produce a record amount of oil next year.,politics,relevant
"When Minneapolis teachers settled a 14-day strike earlier this year, they celebrated a groundbreaking provision in their new contract that was meant to shield teachers of color from traditional seniority-based layoffs.",academic,relevant
"Leon Vitali, the “Barry Lyndon” actor who became one of Stanley Kubrick’s closest associates, has died.",entertainment,relevant
"Idris Elba may go head-to-head with a lion in “Beast,” but the action flick was no match for the latest “Dragon Ball” movie.",entertainment,relevant
Voting rights groups are dismayed about a ruling that upholds a ban on giving drinks and snacks to people waiting to vote.,politics,relevant
The former vice president made the disclosure after FBI agents seized classified and top secret documents from Donald Trump's Florida home.,politics,relevant
"The Senate GOP leader cited ""candidate quality"" as a factor in whether Republicans can win control in the November election.",politics,relevant
"Young Thug, along with rapper Gunna, are one of dozens of men charged in a Georgia racketeering and gang case.",entertainment,relevant
"""The matter is one of utmost public interest, involving the actions of current and former government officials,” wrote an attorney some of the media companies.",politics,relevant
"Rochelle Walensky announced a ""reset"" for the organization amid public criticisms over its response to the coronavirus and monkeypox.",politics,relevant
The nation's leading reproductive health care provider is pouring money into contests where access to abortion will be on the ballot.,politics,relevant
"For many Americans living in states with strict voter suppression laws, Election Day is their only chance to cast a ballot.",politics,relevant
Graham had argued that a provision of the Constitution provides absolute protection against a senator being questioned about legislative acts.,politics,relevant
"The actor, known for her roles in “Another World” and “One Life to Live,” had previously revealed a cervical cancer diagnosis.",entertainment,relevant
The Brad Pitt action film “Bullet Train” led all movies in ticket sales for a second straight weekend.,entertainment,relevant
"Democratic Sen. Kyrsten Sinema of Arizona has received nearly $1 million in campaign contributions over the past year from private equity professionals, hedge fund managers and venture capitalists whose interests she has staunchly defended in Congress.",politics,relevant
Numerous transportation projects across the U.S. will be getting a slice of $2.2 billion of new federal funding.,politics,relevant
"The bill was also touted as lowering the deficit, but by how much is uncertain.",politics,relevant
The legendary comedian and actor's latest TV show is up for multiple Emmys this year.,entertainment,relevant
Two veteran New York Democrats previously dodged a question on whether the president should run for reelection.,politics,relevant
Chicago Police said a person threw an “incendiary device” toward the set in the city’s South Loop neighborhood.,entertainment,relevant
And why Donald Trump can.,politics,relevant
The special grand jury in Atlanta is investigating whether former President Donald Trump and others illegally tried to interfere in the 2020 general election in the state.,politics,relevant
"The ""American Gangster"" actor told Jimmy Fallon he wrote Jay-Z a poem that ended up on the film's companion album.",entertainment,relevant
"“Those are the heroes,” John Kelly reportedly responded to Trump in the new book “The Divider” by journalists Peter Baker and Susan B. Glasser.",politics,relevant
Graham directly insulted Hassan and presiding officer Chris Murphy (D-Conn.) stepped in.,politics,relevant
The only hope for restoring the child benefit appears to be bipartisan negotiations with Sen. Mitt Romney (R-Utah).,politics,relevant
"Quick solutions to fix your farmer’s tan, from body makeup to self tanner.",fashion,relevant
The latest example of how Senate rules help the powerful.,politics,relevant
The stylized action romp starring Brad Pitt arrived with a $30.1 million opening weekend.,entertainment,relevant
"Warner Bros. Discovery CEO David Zaslav recently teased the film's upcoming release, in spite of Miller's arrests and various allegations against the star.",entertainment,relevant
"President Joe Biden’s response comes two days after a fourth Muslim man was found dead in what New Mexico's governor called a ""targeted"" attack.",politics,relevant
"When Danielle Grier Mulvenna tweeted a photo of her smiling baby girl and noted her eerie resemblance to Woody Harrelson, the actor took notice.",entertainment,relevant
"Some Medicare recipients spend more than $10,000 a year on lifesaving medication. That could change.",politics,relevant
"With the ex-president reportedly under criminal investigation, many Senate Republicans are taking a wait-and-hope-it-doesn’t-happen stance.",politics,relevant
"“Instead of dancing, you stand around and watch this guy cry,” said one journalist describing the bizarre scene.",politics,relevant
"The ""Daily Show"" host calls out Russia's latest strong-arm tactics.",entertainment,relevant
Many of these school employees quietly go above and beyond what’s in their job description. Stacey Truman shows what that looks like.,food,relevant
"The singer said both the rapper's support of Trump and his presidential run became ""too much for us to sustain our friendship.""",entertainment,relevant
"""Numbers told you not to, but that didn’t stop you,"" Lovato sings in a snippet from an unreleased new track.",entertainment,relevant
"The beloved comedy, which starred Melanie Griffith, Harrison Ford and Sigourney Weaver, is getting the reboot treatment.",entertainment,relevant
The husband of House Speaker Nancy Pelosi was charged with driving under the influence after a May car crash in California.,politics,relevant
"Come for de Armas, and you'll have to answer to Pitt.",entertainment,relevant
Musician Matthew Koma pointed out how the “Fuller House” star’s July 4 post wasn’t as patriotic as she thought it was.,entertainment,relevant
"The PACT Act, which will help veterans suffering from illnesses caused by toxic burn pits, now heads to the president’s desk.",politics,relevant
"Dan Giusti is changing the way institutions like schools, prisons and senior centers think about food. Here's what he's learned so far.",food,relevant
The state House speaker testified before the Jan. 6 committee investigating Trump's efforts to cling to power.,politics,relevant
"Hadid's last post before her break was from October 2021, the same month that she accused Gigi Hadid’s then-boyfriend, Zayn Malik, of shoving her.",entertainment,relevant
Patel is taking on Reps. Carolyn Maloney and Jerry Nadler for the Democratic nomination in a Manhattan congressional district.,politics,relevant
"“This is clearly something that bothers Will more than Chris. Will needs to deal with his issues. Chris is fine,"" one insider told People.com.",entertainment,relevant
"The Supreme Court decision on abortion has scrambled the political dynamics heading into the November elections, when control of Congress is at stake.",politics,relevant
The superhero spinoff about Superman’s dog knocked Jordan Peele’s “Nope” into second place.,entertainment,relevant
Video shows people apparently spotting the rocket's burning debris in the night sky over Malaysia.,science,relevant
"Olivia Troye, who quit the administration in 2020, appeared to call out the same Trump official now embroiled in the Secret Service text-deletion scandal.",politics,relevant
"The phones of Homeland Security leaders Chad Wolf and Ken Cuccinelli reportedly were wiped, much like those of Trump's Secret Service agents.",politics,relevant
"Ivana Hrynkiw was ultimately allowed to witness the killing of Joe Nathan James Jr., who was executed against the wishes of his victim’s family members.",politics,relevant
The longest-running cast member said Lorne Michaels' rumored departure could affect the quality of the show.,entertainment,relevant
"The music superstar gave fans an adorable look at Blue, Rumi and Sir Carter ahead of the release of her new album, ""Renaissance.""",entertainment,relevant
"The deal Democrats struck late Thursday includes a historic $369 billion in clean energy and climate investments, but also requires new oil and gas leasing.",politics,relevant
"Footage shows a Harris County Sheriff’s Office deputy chasing the man, pinning him down and hitting him with a stun gun before shooting him in the back.",politics,relevant
Republican lawmakers are celebrating the end of nationwide abortion rights while blocking federal protections for birth control.,politics,relevant
"The British actor who plays Eddie Munson said he was snared on his way to ""The Tonight Show with Jimmy Fallon.""",entertainment,relevant
"Five voters from Greene’s district sought to have her removed from the ballot, saying that she played a significant role in the Jan. 6 attack on the U.S. Capitol.",politics,relevant
He's back with more  incendiary rhetoric against the nation just days after his contempt of Congress conviction.,politics,relevant
"In his over 50 years in the entertainment business, Sorvino was a mainstay in films and television.",entertainment,relevant
"The Oscar-winning actor said on social media that “He was the most wonderful father.""",entertainment,relevant
"After a brief conversation, the doctor hangs up the phone and tells the parents, “Yeah, that’s gonna be a no. Best of luck to you.”",politics,relevant
The Swedish pole vaulter known as Mondo has a famous lookalike.,entertainment,relevant
"President Joe Biden's physician, Dr. Kevin O'Connor, says Biden continues to “improve significantly” despite a lingering sore throat.",politics,relevant
Hawley's been widely ridiculed since video showed him fleeing Capitol rioters not long after saluting them.,politics,relevant
"Cudi, who replaced West as a festival headliner on short notice, was repeatedly pelted by water bottles from a disrespectful crowd.",entertainment,relevant
"To curry favor with Arizona’s far right, the former TV anchor is leveraging her unique background and using the media as a punching bag. It just might work.",politics,relevant
"The comedy star confessed she and Koy had been experiencing issues for ""some time.""",entertainment,relevant
"The House passed the Right to Contraception Act, which would codify the right to birth control amid fears that conservatives are coming for that next.",politics,relevant
The portrait of Kate Middleton and Prince William's eldest was taken by the Duchess of Cambridge herself.,entertainment,relevant
"Despite his many scandals and gaffes, polls show the former football star trailing only slightly behind Democratic Sen. Raphael Warnock.",politics,relevant
The comedian decided to step away from the late-night sketch series after an 11-season run.,entertainment,relevant
The Georgia law bans most abortions once a “detectable human heartbeat” is present.,politics,relevant
The executive push includes $2.3 billion in climate resilience funding and a first step toward opening the Gulf of Mexico to offshore wind development.,politics,relevant
"The ""Cravings"" cookbook author was candid with followers, saying she didn’t know if she’d be sober forever.",entertainment,relevant
The House committee investigating the violent insurrection subpoenaed the texts last Friday.,politics,relevant
Bannon is charged in Washington’s federal court with defying a subpoena from the Jan. 6 committee that sought his records and testimony.,politics,relevant
Police said a man with a rifle opened fire in a food court and an armed civilian shot him. 2 others were injured.,politics,relevant
"The new HBO series from the “sick and twisted minds” of ""Euphoria"" creator Sam Levinson and the music superstar is coming soon.",entertainment,relevant
"Initially a bipartisan priority, helping Ukraine stop Russia is becoming a harder sell for Republicans.",politics,relevant
"Ryan Dark White, a U.S. Senate candidate in Maryland running as Jon McGreevey, concocted the story for ""his own political agenda,"" the sheriff said.",politics,relevant
"""I think the window for getting control of this and containing it probably has closed,"" Scott Gottlieb told ""Face the Nation.""",politics,relevant
Dr. Caitlin Bernard is also currently listed on the website of a militant anti-abortion group with ties to Supreme Court Justice Amy Coney Barrett.,politics,relevant
"Rep. Lee Zeldin (R-N.Y.), who is running for governor in the fall, is accused of submitting photocopied signatures to get a line on the ballot.",politics,relevant
"The Republican said the 2015 Obergefell v. Hodges ruling, which legalized same-sex marriage across the country, ""was clearly wrong"" and ""overreaching.”",politics,relevant
"The comedian, who recently co-created and starred in Peacock's ""Bust Down,"" died on Thursday.",entertainment,relevant
"Don't rain on Steven Brinberg's parade! The performer will take the stage July for his acclaimed concert, ""Simply Barbra,"" in New York.",entertainment,relevant
The erasure of the messages is sure to raise new questions for the House panel investigating the Jan. 6 attack.,politics,relevant
"The ""Full House"" star revealed one big clue that the musician was singing about him on her ""Jagged Little Pill"" album.",entertainment,relevant
"More than 4 in 10 U.S. births are paid for by Medicaid, the state-federal health insurance program for the poor — and fewer abortions will mean more births.",politics,relevant
The Democratic Pennsylvania Senate nominee found a clever way to mock his GOP rival's New Jersey roots.,politics,relevant
"Greene featured the harasser on her podcast and called his lewd shouts ""quite the compliment.""",politics,relevant
"The White House called it ""unthinkable"" that Texas' attorney general ""would sue to block women from receiving life-saving care in emergency rooms.""",politics,relevant
Turns out the former president has used this one a lot.,entertainment,relevant
CNN first reported the former president called the person shortly after Cassidy Hutchinson's bombshell testimony last month.,politics,relevant
"Since the fall of Roe, some pharmacies have refused to fill certain prescriptions that are the same as or similar to the drugs used in medication abortion.",politics,relevant
Experts already believe the site served as more than just a tomb.,science,relevant
"The former trade adviser also accused Trump's vice president of ""traitorous activity.""",politics,relevant
"""It's going to be fun, this telescope.""",science,relevant
"""Aerial trolling!!!!"" goofs Pennsylvania Lt. Gov. Fetterman, who underscores confusion about where Trump-endorsed Oz actually resides.",politics,relevant
The fan-favorite character just got high honors from some actual metal gods.,entertainment,relevant
"No, it's not made from oranges.",food,relevant
